prompt,model_of_original_prompt,order,iteration,prompt_length,step1_story_prompt_with_prefix,full_prompt_length
A hacker discovers a hidden website that predicts global disasters—with 100% accuracy.,Deepseek,18,19,86,Please write me a story in exactly 5 sentences: A hacker discovers a hidden website that predicts global disasters—with 100% accuracy.,134
A person starts seeing a mysterious figure in every photograph they take.,Deepseek,41,7,73,Please write me a story in exactly 5 sentences: A person starts seeing a mysterious figure in every photograph they take.,121
A person's shadow starts moving independently.,Deepseek,40,14,46,Please write me a story in exactly 5 sentences: A person's shadow starts moving independently.,94
A historian finds proof that a famous historical figure never existed.,Deepseek,15,19,70,Please write me a story in exactly 5 sentences: A historian finds proof that a famous historical figure never existed.,118
"A scientist discovers a way to communicate with plants, but they have a dark secret.",Deepseek,1,13,84,"Please write me a story in exactly 5 sentences: A scientist discovers a way to communicate with plants, but they have a dark secret.",132
A child's imaginary friend turns out to be real—and dangerous.,Deepseek,6,13,62,Please write me a story in exactly 5 sentences: A child's imaginary friend turns out to be real—and dangerous.,110
A chef creates a dish so delicious that people who eat it become obsessed.,Deepseek,19,15,74,Please write me a story in exactly 5 sentences: A chef creates a dish so delicious that people who eat it become obsessed.,122
A couple realizes their new neighbor is identical to a character from a book they wrote.,Deepseek,47,1,88,Please write me a story in exactly 5 sentences: A couple realizes their new neighbor is identical to a character from a book they wrote.,136
A hotel room that doesn't exist on any floor plan.,Deepseek,35,8,50,Please write me a story in exactly 5 sentences: A hotel room that doesn't exist on any floor plan.,98
A therapist’s new patient claims to be immortal—and has proof.,Deepseek,30,19,62,Please write me a story in exactly 5 sentences: A therapist’s new patient claims to be immortal—and has proof.,110
A person discovers their cat has been leaving them handwritten notes.,Deepseek,22,5,69,Please write me a story in exactly 5 sentences: A person discovers their cat has been leaving them handwritten notes.,117
A scientist creates a device that lets you see 5 minutes into the future—but it’s always bad news.,Deepseek,46,6,98,Please write me a story in exactly 5 sentences: A scientist creates a device that lets you see 5 minutes into the future—but it’s always bad news.,146
A person starts receiving phone calls from their deceased loved one.,Deepseek,16,20,68,Please write me a story in exactly 5 sentences: A person starts receiving phone calls from their deceased loved one.,116
A time traveler gets stuck in the past and must blend in without changing history.,Deepseek,5,13,82,Please write me a story in exactly 5 sentences: A time traveler gets stuck in the past and must blend in without changing history.,130
A delivery driver stumbles upon a town that isn’t on any map.,Deepseek,17,7,61,Please write me a story in exactly 5 sentences: A delivery driver stumbles upon a town that isn’t on any map.,109
A clockmaker builds a timepiece that counts down to an unknown event.,Deepseek,15,9,69,Please write me a story in exactly 5 sentences: A clockmaker builds a timepiece that counts down to an unknown event.,117
"A pilot lands a plane, but the airport has been abandoned for decades.",Deepseek,29,19,70,"Please write me a story in exactly 5 sentences: A pilot lands a plane, but the airport has been abandoned for decades.",118
A person starts receiving letters addressed to them—from the future.,Deepseek,37,15,68,Please write me a story in exactly 5 sentences: A person starts receiving letters addressed to them—from the future.,116
A person’s dreams start leaking into reality.,Deepseek,49,2,45,Please write me a story in exactly 5 sentences: A person’s dreams start leaking into reality.,93
A bartender serves a drink that makes customers forget one specific memory.,Deepseek,43,19,75,Please write me a story in exactly 5 sentences: A bartender serves a drink that makes customers forget one specific memory.,123
"A town where it's always night, and the stars whisper secrets.",Deepseek,16,4,62,"Please write me a story in exactly 5 sentences: A town where it's always night, and the stars whisper secrets.",110
A person discovers their dreams are actually memories from someone else's life.,Deepseek,44,17,79,Please write me a story in exactly 5 sentences: A person discovers their dreams are actually memories from someone else's life.,127
A person inherits a pocket watch that stops time—but only for them.,Deepseek,27,7,67,Please write me a story in exactly 5 sentences: A person inherits a pocket watch that stops time—but only for them.,115
